,file,color,orientation,type
58,0066_c001_00060050_0,green,left,bus
1642,0606_c017_00088930_0_flip,black,fr,suv
1083,0344_c017_00035190_1_flip,white,bl,sedan
355,0295_c016_00036360_0,white,bl,hatchback
1060,0218_c005_00067710_0_flip,red,bl,hatchback
679,0541_c008_00051040_0,gray,fl,sedan
1619,0510_c010_00030850_1_flip,gray,fr,sedan
766,0590_c019_00047905_1,black,front,suv
895,0660_c014_00028975_1,black,fl,sedan
1109,0545_c004_00015000_0_flip,gray,bl,sedan
683,0543_c008_00000120_0,gray,fl,sedan
706,0576_c001_00062710_0,black,br,suv
704,0569_c015_00085595_0,gray,bl,sedan
1415,0122_c016_00039705_0_flip,blue,fl,truck
814,0610_c010_00086260_0,black,bl,suv
1554,0295_c012_00037995_0_flip,white,fr,hatchback
1014,0319_c007_00087240_0_flip,white,left,sedan
214,0174_c009_00072210_0,gray,fr,truck
435,0337_c013_00074075_0,white,front,sedan
517,0402_c002_00073075_0,yellow,fr,truck
1343,0602_c015_00032995_1_flip,black,br,suv
581,0446_c012_00064190_0,gray,fl,van
1250,0318_c013_00024245_0_flip,white,br,sedan
1355,0623_c015_00078955_0_flip,black,br,sedan
1532,0192_c010_00032190_0_flip,red,fr,minivan
1530,0188_c014_00047125_0_flip,red,fr,sedan
1194,0174_c008_00044180_0_flip,gray,br,truck
203,0173_c012_00067495_0,gray,br,truck
232,0180_c008_00044725_0,red,fl,sedan
777,0598_c009_00042660_0,black,fr,suv
1080,0344_c001_00034150_0_flip,white,bl,sedan
1107,0494_c004_00021520_0_flip,gray,bl,sedan
1427,0249_c016_00021630_0_flip,black,fl,sedan
1071,0294_c005_00061730_0_flip,white,bl,hatchback
1523,0180_c003_00044990_0_flip,red,fr,sedan
336,0281_c006_00031015_1,white,bl,bus
794,0602_c019_00022785_1,black,bl,suv
1496,0118_c004_00089015_0_flip,yellow,fr,truck
124,0126_c009_00061195_0,white,bl,truck
370,0299_c005_00078445_0,white,br,van
226,0179_c019_00027620_0,red,front,sedan
1371,0657_c011_00066395_1_flip,black,br,sedan
1606,0467_c017_00015580_0_flip,black,fr,sedan
372,0299_c010_00077105_0,white,back,van
1349,0610_c009_00086805_0_flip,black,br,suv
800,0609_c003_00042355_0,black,fl,suv
373,0299_c011_00076885_2,white,front,van
103,0118_c001_00068830_0,yellow,front,truck
1511,0151_c006_00005655_0_flip,white,fr,truck
827,0615_c007_00008910_0,black,right,suv
1203,0188_c016_00046980_0_flip,red,br,sedan
936,0685_c004_00025425_0,black,br,sedan
1310,0494_c006_00022090_0_flip,gray,br,sedan
1239,0299_c002_00046780_0_flip,white,br,van
132,0129_c019_00027420_0,white,bl,truck
755,0585_c019_00029675_0,black,front,suv
1341,0602_c003_00027235_1_flip,black,br,suv
1293,0473_c019_00004580_0_flip,black,br,sedan
82,0102_c016_00005055_0,green,bl,pickup
1518,0177_c001_00072025_0_flip,red,fr,sedan
228,0180_c002_00046495_0,red,fl,sedan
1572,0365_c006_00033645_0_flip,white,fr,minivan
1118,0585_c012_00028970_0_flip,black,bl,suv
998,0775_c009_00071690_0,black,bl,sedan
504,0392_c012_00027770_0,yellow,back,truck
1560,0300_c017_00077925_0_flip,white,fr,hatchback
765,0590_c017_00047685_0,black,back,suv
1402,0770_c013_00033195_0_flip,black,br,sedan
139,0132_c013_00018475_0,white,bl,truck
784,0602_c003_00027235_1,black,bl,suv
208,0174_c006_00043170_0,gray,fl,truck
1443,0402_c016_00019795_0_flip,yellow,fl,truck
1661,0630_c010_00037430_0_flip,black,fr,sedan
1508,0135_c017_00059525_0_flip,white,fr,truck
1529,0188_c006_00053340_0_flip,red,fr,sedan
938,0687_c010_00020365_0,black,fl,sedan
1405,0775_c003_00071530_0_flip,black,br,sedan
808,0610_c002_00085245_0,black,back,suv
347,0288_c008_00028535_0,white,front,hatchback
48,0063_c012_00009310_0,green,fl,hatchback
260,0197_c014_00035600_0,red,back,minivan
857,0642_c015_00023135_0,black,front,sedan
1693,0753_c008_00047685_0_flip,black,fr,sedan
65,0074_c004_00001720_0,gray,fl,pickup
803,0609_c004_00089115_0,black,fl,suv
764,0590_c015_00048560_0,black,front,suv
567,0420_c008_00063430_0,gray,fl,minivan
445,0361_c009_00072740_0,white,fr,sedan
688,0545_c009_00014850_0,gray,fr,sedan
852,0630_c011_00050370_0,black,front,sedan
1436,0361_c009_00072745_0_flip,white,fl,sedan
624,0477_c016_00017840_0,black,bl,sedan
1121,0597_c005_00066235_0_flip,black,bl,suv
719,0582_c006_00028830_0,black,front,suv
1469,0720_c016_00076355_0_flip,black,fl,sedan
149,0134_c008_00059470_0,white,fl,truck
570,0421_c002_00064765_0,gray,br,minivan
1330,0570_c009_00069965_0_flip,gray,br,sedan
748,0585_c015_00031185_0,black,fl,suv
1149,0009_c015_00089450_0_flip,green,br,suv
1449,0522_c004_00080960_0_flip,gray,fl,sedan
831,0623_c015_00078945_0,black,bl,sedan
83,0102_c016_00005070_0,green,bl,pickup
1335,0585_c014_00031635_1_flip,black,br,suv
1389,0717_c002_00054375_0_flip,black,br,sedan
555,0405_c017_00064060_0,yellow,back,truck
534,0404_c012_00042180_0,yellow,br,truck
667,0518_c017_00046035_0,gray,fl,sedan
1151,0014_c016_00039140_0_flip,red,br,sedan
116,0118_c019_00066020_0,yellow,bl,truck
1610,0477_c006_00059155_0_flip,black,fr,sedan
1231,0295_c016_00036360_0_flip,white,br,hatchback
1612,0477_c014_00018030_0_flip,black,fr,sedan
1304,0482_c008_00054205_0_flip,gray,br,sedan
318,0249_c019_00020745_0,black,front,sedan
979,0753_c008_00047685_0,black,fl,sedan
459,0365_c010_00086725_0,white,fl,minivan
710,0576_c013_00062985_0,black,front,suv
659,0515_c015_00054235_0,gray,bl,sedan
3,0002_c011_00083595_0,yellow,front,hatchback
1299,0477_c016_00017840_0_flip,black,br,sedan
1324,0546_c013_00016650_0_flip,gray,br,sedan
1691,0742_c010_00027085_0_flip,black,fr,sedan
1379,0672_c001_00045435_1_flip,black,br,sedan
405,0318_c016_00065815_0,white,fr,sedan
1157,0065_c011_00061305_0_flip,green,br,bus
525,0402_c016_00019795_0,yellow,fr,truck
1113,0576_c001_00076285_0_flip,black,bl,suv
1045,0122_c012_00037005_0_flip,blue,bl,truck
110,0118_c008_00089320_0,yellow,bl,truck
863,0646_c018_00008105_0,black,back,sedan
248,0188_c014_00047125_0,red,fl,sedan
1390,0717_c008_00056535_0_flip,black,br,sedan
245,0188_c006_00053340_0,red,fl,sedan
913,0668_c010_00008065_0,black,back,sedan
1179,0134_c001_00064820_1_flip,white,br,truck
356,0295_c017_00037490_0,white,fl,hatchback
797,0606_c017_00088970_0,black,fl,suv
474,0371_c014_00065450_0,white,back,minivan
1434,0337_c009_00034195_0_flip,white,fl,sedan
631,0482_c007_00054855_0,gray,right,sedan
598,0467_c003_00057095_0,black,left,sedan
1426,0240_c016_00047690_0_flip,gray,fl,minivan
121,0122_c015_00038445_0,blue,front,truck
224,0179_c012_00027980_0,red,fl,sedan
627,0480_c001_00022180_0,black,left,sedan
1679,0677_c006_00044805_0_flip,black,fr,sedan
1027,0776_c007_00000620_0_flip,black,left,sedan
499,0385_c017_00061280_0,white,back,suv
1544,0247_c014_00082340_0_flip,brown,fr,sedan
1010,0188_c007_00055830_0_flip,red,left,sedan
1038,0074_c003_00001840_0_flip,gray,bl,pickup
960,0720_c001_00073715_0,black,bl,sedan
526,0402_c016_00077700_0,yellow,fr,truck
1232,0295_c019_00037285_0_flip,white,br,hatchback
436,0344_c001_00034150_0,white,br,sedan
548,0405_c015_00009825_0,yellow,front,truck
1376,0662_c003_00004960_0_flip,black,br,sedan
164,0135_c019_00059325_0,white,bl,truck
368,0299_c002_00076025_0,white,br,van
1368,0654_c011_00019280_0_flip,black,br,sedan
1603,0446_c017_00043075_1_flip,gray,fr,van
134,0130_c003_00058590_0,white,back,truck
420,0326_c009_00089965_0,white,bl,sedan
467,0368_c011_00064830_0,white,front,minivan
1058,0205_c005_00057185_0_flip,red,bl,hatchback
322,0262_c015_00021760_0,gray,front,minivan
1261,0361_c001_00035890_0_flip,white,br,sedan
1690,0727_c004_00000810_0_flip,black,fr,sedan
37,0038_c008_00008270_0,red,front,sedan
1150,0014_c015_00039395_0_flip,red,br,sedan
881,0657_c011_00066365_1,black,bl,sedan
1370,0657_c011_00066385_1_flip,black,br,sedan
1041,0117_c001_00048685_0_flip,gray,bl,pickup
885,0657_c015_00015110_0,black,front,sedan
390,0315_c004_00025415_0,white,br,sedan
1025,0672_c004_00042645_0_flip,black,left,sedan
602,0467_c015_00016950_0,black,front,sedan
1621,0522_c003_00081095_0_flip,gray,fr,sedan
1665,0646_c014_00006855_0_flip,black,fr,sedan
294,0240_c013_00046065_0,gray,front,minivan
1420,0143_c016_00076535_0_flip,white,fl,truck
689,0545_c010_00015615_0,gray,fl,sedan
328,0273_c009_00036335_0,blue,front,bus
40,0038_c019_00003575_0,red,front,sedan
19,0009_c015_00089450_0,green,bl,suv
708,0576_c001_00076205_0,black,fr,suv
1577,0373_c003_00075995_0_flip,white,fr,minivan
192,0154_c015_00040865_0,red,front,truck
686,0545_c003_00015065_0,gray,fl,sedan
1676,0672_c003_00042645_1_flip,black,fr,sedan
1383,0677_c006_00042935_0_flip,black,br,sedan
1695,0753_c010_00048435_0_flip,black,fr,sedan
1266,0380_c001_00064470_0_flip,white,br,minivan
1375,0660_c016_00028755_0_flip,black,br,sedan
1697,0770_c012_00033110_0_flip,black,fr,sedan
191,0154_c012_00039665_1,red,br,truck
282,0218_c008_00067280_0,red,bl,hatchback
195,0166_c001_00038210_0,gray,fr,truck
34,0035_c010_00001265_0,red,back,sedan
822,0612_c010_00087950_0,black,fl,suv
1406,0775_c003_00071580_0_flip,black,br,sedan
752,0585_c016_00066295_0,black,bl,suv
1008,0135_c007_00070925_0_flip,white,left,truck
1614,0489_c004_00084640_0_flip,gray,fr,sedan
657,0510_c008_00029975_0,gray,fl,sedan
1242,0300_c019_00077690_0_flip,white,br,hatchback
120,0122_c013_00036865_0,blue,front,truck
1546,0249_c013_00019735_0_flip,black,fr,sedan
1163,0102_c016_00005070_0_flip,green,br,pickup
1344,0602_c016_00021900_0_flip,black,br,suv
1052,0180_c004_00044875_0_flip,red,bl,sedan
635,0485_c010_00050175_0,gray,bl,sedan
68,0086_c014_00081920_0,gray,back,pickup
1470,0771_c007_00071260_0_flip,black,fl,sedan
845,0630_c004_00051075_0,black,fl,sedan
609,0473_c019_00004565_0,black,bl,sedan
1635,0585_c015_00031175_0_flip,black,fr,suv
38,0038_c013_00001635_0,red,front,sedan
439,0344_c013_00034465_0,white,front,sedan
1478,0027_c017_00012205_0_flip,red,fr,sedan
836,0624_c008_00059045_0,black,fl,sedan
146,0134_c006_00061700_0,white,bl,truck
125,0126_c009_00061200_0,white,bl,truck
96,0110_c004_00022495_0,green,fl,pickup
1543,0247_c012_00084200_0_flip,brown,fr,sedan
1237,0298_c016_00044965_0_flip,white,br,van
792,0602_c015_00032995_1,black,bl,suv
787,0602_c006_00026420_0,black,front,suv
458,0365_c010_00033880_0,white,back,minivan
215,0174_c010_00043435_0,gray,back,truck
319,0262_c001_00014350_0,gray,fl,minivan
890,0659_c008_00074205_0,black,fl,sedan
126,0126_c013_00004080_0,white,bl,truck
174,0143_c016_00076535_0,white,fr,truck
1137,0668_c002_00006910_0_flip,black,bl,sedan
1588,0404_c012_00015760_0_flip,yellow,fr,truck
1422,0166_c001_00038210_0_flip,gray,fl,truck
56,0065_c016_00068395_0,green,fr,bus
1366,0653_c015_00069305_0_flip,black,br,sedan
824,0614_c014_00089450_0,black,br,suv
62,0066_c014_00056815_0,green,fr,bus
470,0369_c013_00034365_0,white,front,minivan
961,0720_c003_00069795_0,black,fl,sedan
36,0038_c004_00008430_0,red,back,sedan
505,0392_c012_00027785_0,yellow,back,truck
361,0296_c017_00059680_0,white,fl,hatchback
131,0129_c017_00027580_0,white,fl,truck
1185,0135_c019_00059320_0_flip,white,br,truck
1006,0118_c007_00089905_0_flip,yellow,left,truck
1534,0197_c017_00023960_2_flip,red,fr,hatchback
620,0477_c013_00019355_0,black,bl,sedan
233,0180_c008_00044735_0,red,fl,sedan
994,0772_c003_00006555_0,black,bl,sedan
1322,0543_c006_00000920_1_flip,gray,br,sedan
809,0610_c002_00085265_0,black,bl,suv
1190,0151_c009_00006545_0_flip,white,br,truck
1404,0772_c003_00006555_0_flip,black,br,sedan
1204,0188_c016_00046995_0_flip,red,br,sedan
1162,0102_c016_00005055_0_flip,green,br,pickup
73,0096_c012_00025275_1,black,back,pickup
197,0166_c014_00035220_0,gray,fl,truck
87,0104_c003_00016950_0,green,fl,pickup
699,0554_c005_00021655_0,gray,br,sedan
781,0598_c015_00067680_0,black,front,suv
298,0241_c016_00036345_1,gray,front,van
1298,0477_c015_00018060_0_flip,black,br,sedan
1075,0306_c004_00016445_0_flip,white,bl,hatchback
1323,0546_c013_00016630_0_flip,gray,br,sedan
874,0654_c009_00018495_0,black,front,sedan
222,0179_c001_00028700_2,red,front,sedan
1498,0126_c014_00002495_0_flip,white,fr,truck
1604,0446_c017_00043095_1_flip,gray,fr,van
533,0404_c012_00015760_0,yellow,fl,truck
521,0402_c012_00049530_0,yellow,fl,truck
395,0315_c011_00025980_0,white,bl,sedan
954,0717_c003_00040945_0,black,fl,sedan
39,0038_c013_00001665_0,red,front,sedan
1245,0315_c008_00000840_0_flip,white,br,sedan
437,0344_c001_00034180_0,white,br,sedan
850,0630_c010_00037430_0,black,fl,sedan
626,0477_c019_00018560_0,black,bl,sedan
978,0753_c004_00047825_0,black,br,sedan
837,0624_c009_00059120_0,black,fr,sedan
86,0102_c017_00009425_0,green,back,pickup
970,0727_c011_00085570_0,black,bl,sedan
506,0392_c014_00029405_0,yellow,back,truck
540,0405_c004_00046080_0,yellow,fl,truck
1660,0630_c008_00036630_0_flip,black,fr,sedan
574,0421_c017_00062205_0,gray,bl,minivan
1579,0380_c003_00060875_0_flip,white,fr,minivan
494,0385_c015_00061980_0,white,front,suv
615,0477_c006_00059155_0,black,fl,sedan
511,0398_c001_00043260_0,yellow,bl,truck
1597,0421_c012_00062845_0_flip,gray,fr,minivan
295,0240_c015_00047245_0,gray,front,minivan
92,0108_c004_00077520_0,green,fl,pickup
13,0006_c016_00026305_0,orange,fr,minivan
90,0106_c017_00018840_0,green,fl,pickup
1282,0421_c013_00062925_0_flip,gray,br,minivan
1634,0585_c012_00004420_0_flip,black,fr,suv
334,0281_c001_00033860_0,white,bl,bus
1171,0126_c009_00061195_0_flip,white,br,truck
756,0585_c019_00029685_0,black,front,suv
1111,0576_c001_00062710_0_flip,black,bl,suv
433,0337_c009_00034195_0,white,fr,sedan
321,0262_c013_00013550_0,gray,bl,minivan
675,0541_c001_00055075_0,gray,bl,sedan
588,0446_c017_00043010_1,gray,fl,van
1128,0624_c004_00059150_0_flip,black,bl,sedan
906,0663_c012_00040840_0,black,back,sedan
1656,0615_c004_00007875_0_flip,black,fr,suv
734,0585_c002_00005805_0,black,br,suv
1246,0315_c011_00025980_0_flip,white,br,sedan
773,0597_c005_00066235_0,black,br,suv
621,0477_c014_00018030_0,black,fl,sedan
380,0306_c003_00016520_0,white,fr,hatchback
293,0237_c016_00065310_0,white,bl,sedan
1125,0609_c004_00042280_0_flip,black,bl,suv
934,0677_c011_00042920_0,black,back,sedan
371,0299_c006_00076830_3,white,front,van
1473,0006_c017_00023350_0_flip,orange,fr,minivan
569,0421_c001_00064095_0,gray,fl,minivan
427,0337_c001_00073745_0,white,bl,sedan
649,0494_c006_00022090_0,gray,bl,sedan
455,0365_c003_00086330_0,white,fl,minivan
931,0677_c008_00041970_0,black,fl,sedan
910,0668_c002_00006890_0,black,br,sedan
353,0295_c015_00036590_0,white,bl,hatchback
1611,0477_c012_00019290_0_flip,black,fr,sedan
640,0486_c016_00074650_0,gray,bl,sedan
721,0582_c011_00028750_0,black,front,suv
376,0300_c015_00076865_0,white,bl,hatchback
1172,0126_c009_00061200_0_flip,white,br,truck
1364,0646_c019_00007615_0_flip,black,br,sedan
305,0247_c015_00082385_0,brown,bl,sedan
556,0405_c019_00009135_0,yellow,front,truck
580,0446_c010_00069455_0,gray,back,van
984,0761_c001_00088040_0,black,bl,sedan
1571,0365_c003_00086330_0_flip,white,fr,minivan
402,0318_c013_00024245_0,white,bl,sedan
1050,0173_c012_00067495_0_flip,gray,bl,truck
310,0249_c001_00019260_0,black,bl,sedan
18,0009_c014_00089265_0,green,fl,suv
1593,0420_c003_00063610_0_flip,gray,fr,minivan
250,0188_c016_00046980_0,red,bl,sedan
594,0456_c016_00010495_0,gray,front,sedan
922,0672_c004_00042645_0,black,right,sedan
1515,0172_c010_00078820_0_flip,gray,fr,truck
32,0035_c002_00000430_1,red,br,sedan
866,0652_c003_00063205_0,black,back,sedan
1011,0218_c007_00067825_0_flip,red,left,hatchback
754,0585_c017_00067420_0,black,fl,suv
404,0318_c016_00022085_0,white,bl,sedan
630,0482_c006_00052775_0,gray,front,sedan
201,0172_c017_00086995_0,gray,back,truck
858,0642_c017_00021330_0,black,fl,sedan
1186,0135_c019_00059325_0_flip,white,br,truck
1123,0602_c005_00028175_2_flip,black,bl,suv
750,0585_c016_00065035_0,black,front,suv
1103,0485_c005_00051200_1_flip,gray,bl,sedan
98,0113_c017_00081795_0,green,back,pickup
270,0207_c001_00029460_0,red,fl,hatchback
568,0420_c011_00064055_0,gray,bl,minivan
856,0642_c014_00023320_0,black,back,sedan
1,0002_c006_00083525_1,yellow,front,hatchback
1221,0262_c013_00013550_0_flip,gray,br,minivan
345,0288_c003_00028785_0,white,fl,hatchback
55,0065_c013_00064955_0,green,front,bus
1654,0612_c008_00087215_0_flip,black,fr,suv
1017,0489_c007_00085730_0_flip,gray,left,sedan
743,0585_c013_00028840_0,black,front,suv
553,0405_c017_00040470_0,yellow,fl,truck
1476,0027_c014_00011395_0_flip,red,fr,sedan
518,0402_c002_00073155_0,yellow,fl,truck
1307,0486_c015_00075110_0_flip,gray,br,sedan
899,0660_c016_00028745_0,black,bl,sedan
1600,0446_c012_00064220_0_flip,gray,fr,van
1374,0660_c016_00028745_0_flip,black,br,sedan
364,0298_c014_00045180_0,white,fl,van
722,0584_c001_00060150_0,black,br,suv
354,0295_c015_00036610_0,white,bl,hatchback
412,0319_c008_00086605_0,white,bl,sedan
1127,0615_c005_00008920_0_flip,black,bl,suv
1459,0609_c016_00015905_0_flip,black,fl,suv
1553,0288_c010_00029275_0_flip,white,fr,hatchback
789,0602_c008_00027560_0,black,bl,suv
53,0065_c006_00061350_0,green,bl,bus
841,0625_c008_00010400_0,black,bl,sedan
963,0720_c016_00076345_0,black,fr,sedan
1272,0385_c016_00048280_0_flip,white,br,suv
901,0662_c003_00004960_0,black,bl,sedan
513,0398_c012_00043860_0,yellow,br,truck
948,0711_c003_00001030_0,black,fr,sedan
891,0659_c010_00074865_0,black,fl,sedan
153,0134_c011_00047610_0,white,fl,truck
442,0361_c001_00035890_0,white,bl,sedan
1070,0281_c012_00034445_0_flip,white,bl,bus
23,0014_c015_00039395_0,red,bl,sedan
641,0489_c002_00076085_1,gray,br,sedan
156,0134_c019_00068345_0,white,front,truck
1673,0660_c014_00028975_1_flip,black,fr,sedan
735,0585_c003_00025085_1,black,fl,suv
1382,0672_c011_00043330_0_flip,black,br,sedan
1655,0612_c010_00087950_0_flip,black,fr,suv
397,0318_c001_00026110_0,white,front,sedan
221,0177_c015_00068575_0,red,bl,sedan
1433,0318_c016_00065815_0_flip,white,fl,sedan
879,0657_c003_00064950_1,black,fl,sedan
33,0035_c003_00001885_0,red,back,sedan
1021,0615_c007_00008910_0_flip,black,left,suv
114,0118_c015_00065425_0,yellow,bl,truck
389,0315_c004_00025395_0,white,right,sedan
1633,0585_c003_00025085_1_flip,black,fr,suv
367,0299_c002_00046780_0,white,bl,van
348,0288_c010_00029275_0,white,fl,hatchback
1507,0135_c014_00058305_1_flip,white,fr,truck
1174,0126_c013_00004090_0_flip,white,br,truck
1152,0014_c019_00040070_0_flip,red,br,sedan
1302,0480_c013_00020400_0_flip,black,br,sedan
426,0337_c001_00073725_1,white,bl,sedan
1106,0489_c002_00076095_0_flip,gray,bl,sedan
399,0318_c008_00006275_0,white,bl,sedan
745,0585_c014_00031455_0,black,back,suv
136,0130_c003_00058605_0,white,back,truck
339,0281_c009_00029960_0,blue,fr,bus
1487,0074_c004_00001720_0_flip,gray,fr,pickup
1059,0218_c004_00043515_0_flip,red,bl,hatchback
1644,0609_c002_00043530_0_flip,black,fr,suv
1460,0624_c009_00059120_0_flip,black,fl,sedan
628,0480_c013_00020400_0,black,bl,sedan
93,0108_c007_00078270_0,green,right,pickup
1032,0597_c003_00003195_0_flip,black,right,suv
431,0337_c008_00034685_0,white,bl,sedan
64,0074_c003_00001840_0,gray,br,pickup
988,0768_c019_00057375_0,black,front,sedan
605,0467_c017_00015580_0,black,fl,sedan
1295,0477_c009_00060320_0_flip,black,br,sedan
1514,0172_c002_00079620_0_flip,gray,fr,truck
1333,0585_c013_00004545_1_flip,black,br,suv
1033,0002_c005_00085015_0_flip,yellow,bl,hatchback
187,0151_c006_00005740_0,white,front,truck
1481,0063_c012_00009305_0_flip,green,fr,hatchback
35,0038_c003_00008570_0,red,right,sedan
1562,0319_c004_00086360_0_flip,white,fr,sedan
746,0585_c014_00031635_1,black,bl,suv
1361,0642_c019_00021105_0_flip,black,br,sedan
672,0522_c011_00038705_0,gray,front,sedan
262,0197_c016_00013485_0,red,bl,minivan
302,0247_c002_00089940_0,brown,br,sedan
1626,0543_c008_00000120_0_flip,gray,fr,sedan
1268,0380_c006_00061610_0_flip,white,br,minivan
805,0609_c010_00042935_0,black,fl,suv
1061,0219_c017_00027090_0_flip,red,bl,hatchback
304,0247_c014_00082340_0,brown,fl,sedan
1650,0610_c011_00085975_2_flip,black,fr,suv
1541,0231_c014_00035030_0_flip,gray,fr,sedan
6,0005_c007_00078455_0,orange,right,hatchback
1264,0371_c019_00063710_0_flip,white,br,minivan
1471,0773_c007_00006850_0_flip,black,fl,sedan
1072,0299_c002_00076025_0_flip,white,bl,van
466,0368_c011_00064825_0,white,front,minivan
900,0660_c016_00028755_0,black,bl,sedan
1575,0369_c017_00000360_0_flip,white,fr,minivan
957,0717_c008_00056535_0,black,bl,sedan
1217,0247_c016_00082120_0_flip,brown,br,sedan
1680,0677_c008_00041970_0_flip,black,fr,sedan
1240,0300_c015_00076865_0_flip,white,br,hatchback
1180,0134_c006_00061700_0_flip,white,br,truck
1483,0063_c017_00008670_2_flip,green,fr,hatchback
360,0296_c016_00058240_0,white,bl,hatchback
1023,0615_c007_00008935_0_flip,black,left,suv
712,0576_c017_00064340_0,black,br,suv
916,0672_c001_00049890_0,black,fl,sedan
264,0205_c005_00057185_0,red,br,hatchback
676,0541_c002_00053260_0,gray,fl,sedan
1337,0585_c016_00066285_0_flip,black,br,suv
155,0134_c014_00070340_0,white,back,truck
1482,0063_c012_00009310_0_flip,green,fr,hatchback
933,0677_c010_00045025_1,black,bl,sedan
1501,0132_c012_00018355_0_flip,white,fr,truck
1556,0296_c017_00059680_0_flip,white,fr,hatchback
1308,0486_c016_00074645_0_flip,gray,br,sedan
549,0405_c015_00039665_0,yellow,bl,truck
918,0672_c002_00050440_0,black,br,sedan
842,0625_c010_00009735_0,black,back,sedan
378,0300_c017_00077925_0,white,fl,hatchback
964,0720_c016_00076355_0,black,fr,sedan
1666,0654_c003_00018705_0_flip,black,fr,sedan
1088,0380_c004_00060745_1_flip,white,bl,minivan
1391,0720_c001_00073715_0_flip,black,br,sedan
256,0192_c010_00032190_0,red,fl,minivan
1590,0405_c004_00046080_0_flip,yellow,fr,truck
654,0507_c009_00056030_0,gray,bl,sedan
592,0446_c019_00042820_1,gray,bl,van
428,0337_c003_00071395_0,white,fl,sedan
798,0609_c001_00014105_0,black,bl,suv
989,0770_c001_00033565_0,black,fl,sedan
183,0151_c001_00004585_0,white,fl,truck
267,0205_c011_00055680_0,red,front,hatchback
1509,0142_c014_00086470_0_flip,white,fr,truck
554,0405_c017_00064045_0,yellow,back,truck
181,0150_c019_00049835_0,white,front,truck
1020,0610_c007_00087350_0_flip,black,left,suv
1493,0106_c017_00018840_0_flip,green,fr,pickup
1696,0770_c001_00033565_0_flip,black,fr,sedan
718,0582_c002_00026700_0,black,back,suv
1566,0326_c004_00087035_0_flip,white,fr,sedan
1418,0143_c016_00076505_0_flip,white,fl,truck
541,0405_c012_00008000_0,yellow,br,truck
1639,0602_c012_00023565_0_flip,black,fr,suv
1169,0118_c019_00066020_0_flip,yellow,br,truck
552,0405_c017_00008905_0,yellow,back,truck
497,0385_c016_00062470_0,white,fr,suv
829,0615_c007_00008935_0,black,right,suv
902,0662_c005_00005690_1,black,br,sedan
448,0361_c014_00038050_1,white,back,sedan
634,0485_c005_00051200_1,gray,br,sedan
464,0368_c009_00065705_0,white,bl,minivan
832,0623_c015_00078955_0,black,bl,sedan
1442,0402_c016_00019790_0_flip,yellow,fl,truck
71,0089_c005_00058785_0,green,br,pickup
177,0144_c015_00024580_0,white,bl,truck
685,0545_c002_00017250_0,gray,front,sedan
1430,0281_c009_00029960_0_flip,blue,fl,bus
700,0566_c014_00038555_0,gray,back,sedan
929,0677_c006_00044805_0,black,fl,sedan
1081,0344_c001_00034180_0_flip,white,bl,sedan
1220,0249_c001_00019260_0_flip,black,br,sedan
12,0006_c016_00026255_0,orange,fr,minivan
711,0576_c014_00078330_0,black,bl,suv
1489,0102_c014_00005400_0_flip,green,fr,pickup
306,0247_c016_00082120_0,brown,bl,sedan
309,0247_c019_00083370_0,brown,bl,sedan
1035,0009_c001_00067380_0_flip,green,bl,suv
1512,0166_c014_00035220_0_flip,gray,fr,truck
1044,0122_c012_00036990_0_flip,blue,bl,truck
1640,0602_c014_00022130_0_flip,black,fr,suv
1114,0576_c017_00064340_0_flip,black,bl,suv
429,0337_c004_00071285_0,white,br,sedan
46,0063_c001_00009580_0,green,front,hatchback
849,0630_c008_00051305_0,black,bl,sedan
283,0218_c008_00067295_0,red,back,hatchback
639,0486_c016_00074645_0,gray,bl,sedan
1692,0742_c010_00027095_0_flip,black,fr,sedan
498,0385_c017_00038365_0,white,fl,suv
821,0612_c008_00087215_0,black,fl,suv
359,0296_c016_00058230_1,white,bl,hatchback
606,0467_c019_00016400_0,black,front,sedan
1192,0174_c001_00076030_0_flip,gray,br,truck
559,0416_c013_00020280_0,gray,front,minivan
1617,0510_c003_00030240_0_flip,gray,fr,sedan
1181,0134_c006_00061715_0_flip,white,br,truck
1270,0385_c015_00037590_0_flip,white,br,suv
730,0584_c019_00061380_0,black,front,suv
1102,0477_c005_00060760_1_flip,black,bl,sedan
1435,0361_c009_00072740_0_flip,white,fl,sedan
54,0065_c011_00061305_0,green,bl,bus
1465,0699_c016_00042415_0_flip,black,fl,sedan
690,0546_c004_00020335_0,gray,fl,sedan
169,0143_c012_00073040_0,white,back,truck
584,0446_c015_00042110_0,gray,bl,van
0,0002_c005_00085015_0,yellow,br,hatchback
1042,0117_c012_00049190_1_flip,gray,bl,pickup
115,0118_c019_00065995_1,yellow,bl,truck
97,0110_c010_00022085_0,green,back,pickup
128,0126_c014_00002495_0,white,fl,truck
209,0174_c006_00043290_0,gray,front,truck
1230,0295_c015_00036610_0_flip,white,br,hatchback
1235,0296_c016_00058240_0_flip,white,br,hatchback
1291,0473_c008_00031000_0_flip,black,br,sedan
1095,0405_c012_00008000_0_flip,yellow,bl,truck
1241,0300_c015_00076885_0_flip,white,br,hatchback
726,0584_c016_00062390_0,black,fr,suv
1453,0584_c016_00062390_0_flip,black,fl,suv
1477,0027_c014_00011405_0_flip,red,fr,sedan
1663,0642_c017_00021330_0_flip,black,fr,sedan
